datetime,trade_code,open,high,low,close,volume,amount,chg,pctchg
2001/5/9,000001.SH,2140.554,2142.377,2127.319,2132.89,971903300,10453425273,-5.104,-0.238728
2001/5/10,000001.SH,2134.191,2147.339,2134.191,2147.283,985055800,11162464312,14.393,0.674812
2001/5/11,000001.SH,2150.322,2155.422,2144.759,2155.405,1380646300,10971413078,8.122,0.378245
2001/5/14,000001.SH,2161.614,2178.7,2160.123,2178.466,2525319900,16209586946,23.061,1.069915
2001/5/15,000001.SH,2184.787,2191.068,2176.786,2191.064,2465610100,17346849869,12.598,0.578297
2001/5/16,000001.SH,2195.365,2199.536,2187.414,2199.505,1894789000,17561127550,8.441,0.385247
2001/5/17,000001.SH,2201.983,2205.013,2187.841,2194.647,2791246900,16880669737,-4.858,-0.220868
2001/5/18,000001.SH,2194.62,2203.374,2186.647,2203.372,3200143200,17431723734,8.725,0.397558
2001/5/21,000001.SH,2207.781,2213.752,2202.739,2213.595,3365353800,19288406288,10.223,0.463971
2001/5/22,000001.SH,2215.775,2218.445,2205.253,2210.337,1525445000,14681261065,-3.258,-0.147181
2001/5/23,000001.SH,2210.851,2213.4,2175.277,2197.595,2026268600,17438179134,-12.742,-0.576473
2001/5/24,000001.SH,2198.008,2202.842,2192.169,2198.297,1432894800,15475624326,0.702,0.031944
2001/5/25,000001.SH,2199.661,2204.239,2181.249,2193.576,1358086100,13727022942,-4.721,-0.214757
2001/5/28,000001.SH,2194.453,2194.829,2171.682,2179.699,1494715000,15291972290,-13.877,-0.63262
2001/5/29,000001.SH,2177.647,2188.764,2176.558,2180.276,1206550900,13221503246,0.577,0.026472
2001/5/30,000001.SH,2180.62,2211.205,2180.529,2211.201,1902492800,14402927451,30.925,1.418398
2001/5/31,000001.SH,2217.873,2222.651,2208.884,2214.257,1857307800,16855249843,3.056,0.138205
2001/6/1,000001.SH,2216.56,2223.264,2212.16,2219.591,1780580700,17420038843,5.334,0.240893
2001/6/4,000001.SH,2223.911,2229.055,2222.228,2226.779,2563984100,18297349027,7.188,0.323843
2001/6/5,000001.SH,2229.247,2235.504,2226.818,2234.987,2403872300,16845995608,8.208,0.368604
2001/6/6,000001.SH,2237.989,2241.087,2224.304,2238.501,1687837800,17074328596,3.514,0.157227
2001/6/7,000001.SH,2241.014,2242.691,2223.414,2229.812,992404800,14376232021,-8.689,-0.388162
2001/6/8,000001.SH,2229.205,2229.414,2211.75,2223.068,896480600,14007784630,-6.744,-0.302447
2001/6/11,000001.SH,2223.795,2226.61,2206.636,2214.623,997664400,13600023648,-8.445,-0.37988
2001/6/12,000001.SH,2213.545,2223.297,2211.862,2222.959,1016416400,14480012550,8.336,0.376407
2001/6/13,000001.SH,2227.071,2242.423,2226.878,2242.423,1070147100,15797215965,19.464,0.87559
2001/6/14,000001.SH,2243.299,2245.435,2201.008,2202.398,1790119600,17930530922,-40.025,-1.7849
